               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.021677,            0.017235,           0.0011455,             0.86509,             0.78921,             0.83893,             0.60327,            0.029951,             0.01521,           0.0014905,            0.002872,            0.002872,            0.002872
                  74,            0.021853,            0.017034,           0.0012403,              0.8766,             0.78309,              0.8499,             0.61915,            0.029771,            0.015122,           0.0014873,            0.002773,            0.002773,            0.002773
                  75,            0.020901,            0.017759,           0.0011997,             0.89742,             0.76424,             0.85387,              0.6119,            0.029233,            0.015412,           0.0014942,            0.002674,            0.002674,            0.002674
                  76,            0.020733,            0.016698,          0.00095528,              0.8545,             0.81927,              0.8604,              0.6201,            0.029172,            0.015093,           0.0013682,            0.002575,            0.002575,            0.002575
                  77,            0.021502,            0.017944,          0.00094958,             0.87467,             0.81139,             0.86158,             0.62124,            0.029671,            0.014696,           0.0013161,            0.002476,            0.002476,            0.002476
                  78,             0.02149,            0.017066,           0.0010797,             0.89271,             0.78678,             0.85572,             0.61901,            0.030343,            0.014874,           0.0012947,            0.002377,            0.002377,            0.002377
                  79,            0.020635,            0.017103,          0.00098112,             0.86838,             0.79585,              0.8541,             0.62132,            0.030205,            0.015023,            0.001372,            0.002278,            0.002278,            0.002278
                  80,            0.020497,            0.018284,          0.00092782,             0.87993,             0.78759,             0.85878,             0.63602,            0.030015,            0.015044,           0.0014959,            0.002179,            0.002179,            0.002179
                  81,            0.020363,            0.018259,          0.00092125,             0.87088,             0.79543,             0.85677,             0.62776,            0.030369,            0.015184,           0.0016216,             0.00208,             0.00208,             0.00208
                  82,            0.019552,            0.017365,          0.00085435,             0.85115,             0.79424,             0.85733,             0.61772,            0.030702,             0.01527,           0.0016354,            0.001981,            0.001981,            0.001981
                  83,            0.021781,            0.016669,           0.0011372,             0.84168,             0.80242,             0.85802,             0.62479,            0.029686,            0.014894,            0.001509,            0.001882,            0.001882,            0.001882
                  84,            0.020477,            0.018044,           0.0010181,             0.85472,             0.78679,             0.86132,             0.62207,            0.029728,            0.014674,           0.0015322,            0.001783,            0.001783,            0.001783
                  85,            0.019911,             0.01733,          0.00088072,             0.84311,             0.81197,             0.86316,             0.63395,            0.029454,              0.0146,           0.0014953,            0.001684,            0.001684,            0.001684
                  86,            0.019179,            0.015509,          0.00093855,              0.8589,             0.80988,             0.86616,             0.63219,            0.028989,            0.014564,           0.0014299,            0.001585,            0.001585,            0.001585
                  87,            0.019913,            0.017191,          0.00084712,             0.86724,              0.8126,             0.86426,             0.63179,            0.029517,            0.014515,            0.001396,            0.001486,            0.001486,            0.001486
                  88,             0.01934,            0.016732,          0.00085887,             0.88647,             0.79495,             0.86356,             0.63517,            0.029416,            0.014681,           0.0013496,            0.001387,            0.001387,            0.001387
                  89,            0.019776,            0.016439,           0.0010385,             0.88006,             0.81361,             0.86768,             0.63842,            0.029152,            0.014789,              0.0013,            0.001288,            0.001288,            0.001288
                  90,            0.018819,            0.015423,          0.00084174,             0.87654,             0.81361,             0.85737,             0.62835,            0.029588,            0.014863,            0.001321,            0.001189,            0.001189,            0.001189
                  91,            0.019295,             0.01671,          0.00086966,             0.88019,             0.80935,              0.8527,             0.62378,            0.029226,            0.014837,           0.0013266,             0.00109,             0.00109,             0.00109
                  92,            0.019582,            0.016588,          0.00091949,             0.86328,             0.81367,             0.85631,             0.62932,            0.029443,            0.014753,           0.0013147,            0.000991,            0.000991,            0.000991
                  93,            0.019596,            0.015736,          0.00095134,             0.88166,             0.80904,             0.85878,             0.63027,            0.029544,            0.014656,           0.0013527,            0.000892,            0.000892,            0.000892
                  94,            0.018935,            0.016821,          0.00091674,             0.89545,             0.80848,             0.86342,             0.63478,            0.029357,            0.014603,           0.0013462,            0.000793,            0.000793,            0.000793
                  95,            0.018199,            0.016928,           0.0010323,             0.88145,             0.81461,             0.86341,             0.63425,            0.029433,            0.014683,           0.0013412,            0.000694,            0.000694,            0.000694
                  96,            0.018757,             0.01641,          0.00089281,             0.87586,             0.81588,             0.86324,             0.63772,            0.028856,            0.014758,           0.0013473,            0.000595,            0.000595,            0.000595
                  97,            0.018712,            0.016668,           0.0010336,             0.88016,             0.81364,             0.86304,             0.63893,            0.028949,            0.014631,           0.0013243,            0.000496,            0.000496,            0.000496
                  98,            0.019587,             0.01759,          0.00098033,             0.88699,             0.80973,             0.86236,             0.63409,            0.029285,            0.014589,           0.0013255,            0.000397,            0.000397,            0.000397
                  99,            0.018831,            0.017574,          0.00086488,             0.87664,             0.81573,             0.86028,             0.63888,            0.029101,            0.014586,           0.0013163,            0.000298,            0.000298,            0.000298
